hub_id,hour,n_sessions,mu_init,sigma_init,mu_target,sigma_target,source
Berlin_Neukölln,19,90,0.2857,0.1417,0.9764,0.0602,empirical
Berlin_Neukölln,20,34,0.2145,0.0921,0.981,0.0659,empirical
Berlin_Neukölln,21,7,0.1488,0.1186,0.9928,0.0191,empirical
Berlin_Neukölln,22,0,0.1488,0.1186,0.9928,0.0191,interpolated
Berlin_Neukölln,23,0,0.1488,0.1186,0.9928,0.0191,interpolated
Berlin_Potsdamer_Platz,9,0,0.2905,0.123,0.9947,0.0166,interpolated
Berlin_Potsdamer_Platz,10,0,0.2905,0.123,0.9947,0.0166,interpolated
Berlin_Potsdamer_Platz,11,0,0.2905,0.123,0.9947,0.0166,interpolated
Berlin_Potsdamer_Platz,12,1,0.2905,0.123,0.9947,0.0166,fallback_hub (n=1)
Berlin_Potsdamer_Platz,13,0,0.2905,0.123,0.9947,0.0166,interpolated
Berlin_Potsdamer_Platz,14,0,0.2905,0.123,0.9947,0.0166,interpolated
Berlin_Potsdamer_Platz,15,2,0.2905,0.123,0.9947,0.0166,fallback_hub (n=2)
Berlin_Potsdamer_Platz,16,2,0.2905,0.123,0.9947,0.0166,fallback_hub (n=2)
Berlin_Potsdamer_Platz,17,1,0.2905,0.123,0.9947,0.0166,fallback_hub (n=1)
Berlin_Potsdamer_Platz,18,2,0.2905,0.123,0.9947,0.0166,fallback_hub (n=2)
Berlin_Potsdamer_Platz,19,2,0.2905,0.123,0.9947,0.0166,fallback_hub (n=2)
Berlin_Potsdamer_Platz,20,0,0.2905,0.123,0.9947,0.0166,interpolated
Berlin_Potsdamer_Platz,21,0,0.2905,0.123,0.9947,0.0166,interpolated
Berlin_Potsdamer_Platz,22,0,0.2905,0.123,0.9947,0.0166,interpolated
Berlin_Potsdamer_Platz,23,0,0.2905,0.123,0.9947,0.0166,interpolated
Berlin_Prenzlauer_Berg,9,0,0.2894,0.1378,0.982,0.0537,interpolated
Berlin_Prenzlauer_Berg,10,0,0.2894,0.1378,0.982,0.0537,interpolated
Berlin_Prenzlauer_Berg,11,0,0.2894,0.1378,0.982,0.0537,interpolated
Berlin_Prenzlauer_Berg,12,0,0.2894,0.1378,0.982,0.0537,interpolated
Berlin_Prenzlauer_Berg,13,2,0.2894,0.1378,0.982,0.0537,fallback_hub (n=2)
Berlin_Prenzlauer_Berg,14,2,0.2894,0.1378,0.982,0.0537,fallback_hub (n=2)
Berlin_Prenzlauer_Berg,15,8,0.3154,0.0874,0.9821,0.0248,empirical
Berlin_Prenzlauer_Berg,16,18,0.3145,0.1172,0.9728,0.0572,empirical
Berlin_Prenzlauer_Berg,17,38,0.295,0.1466,0.9812,0.0582,empirical
Berlin_Prenzlauer_Berg,18,54,0.3046,0.1275,0.9765,0.0715,empirical
Berlin_Prenzlauer_Berg,19,49,0.2764,0.1564,0.9843,0.0401,empirical
Berlin_Prenzlauer_Berg,20,15,0.2465,0.1297,1.0,0.01,empirical
Berlin_Prenzlauer_Berg,21,3,0.2894,0.1378,0.982,0.0537,fallback_hub (n=3)
Berlin_Prenzlauer_Berg,22,1,0.2894,0.1378,0.982,0.0537,fallback_hub (n=1)
Berlin_Prenzlauer_Berg,23,0,0.2894,0.1378,0.982,0.0537,interpolated
Berlin_Rehberge,9,0,0.2924,0.1501,0.9805,0.0554,interpolated
Berlin_Rehberge,10,0,0.2924,0.1501,0.9805,0.0554,interpolated
Berlin_Rehberge,11,0,0.2924,0.1501,0.9805,0.0554,interpolated
Berlin_Rehberge,12,0,0.2924,0.1501,0.9805,0.0554,interpolated
Berlin_Rehberge,13,1,0.2924,0.1501,0.9805,0.0554,fallback_hub (n=1)
Berlin_Rehberge,14,5,0.253,0.066,1.0,0.01,empirical
Berlin_Rehberge,15,11,0.2843,0.1115,0.968,0.0726,empirical
Berlin_Rehberge,16,22,0.3588,0.1461,0.9858,0.0483,empirical
Berlin_Rehberge,17,48,0.3235,0.1381,0.982,0.0453,empirical
Berlin_Rehberge,18,54,0.323,0.1541,0.989,0.0357,empirical
Berlin_Rehberge,19,48,0.2548,0.147,0.9711,0.0574,empirical
Berlin_Rehberge,20,31,0.217,0.1403,0.9699,0.0924,empirical
Berlin_Rehberge,21,8,0.2851,0.2081,0.9986,0.01,empirical
Berlin_Rehberge,22,0,0.2851,0.2081,0.9986,0.01,interpolated
Berlin_Rehberge,23,0,0.2851,0.2081,0.9986,0.01,interpolated
Berlin_Remise,9,0,0.2967,0.1331,0.9836,0.0566,interpolated
Berlin_Remise,10,0,0.2967,0.1331,0.9836,0.0566,interpolated
Berlin_Remise,11,0,0.2967,0.1331,0.9836,0.0566,interpolated
Berlin_Remise,12,0,0.2967,0.1331,0.9836,0.0566,interpolated
Berlin_Remise,13,1,0.2967,0.1331,0.9836,0.0566,fallback_hub (n=1)
Berlin_Remise,14,1,0.2967,0.1331,0.9836,0.0566,fallback_hub (n=1)
Berlin_Remise,15,6,0.3821,0.15,1.0,0.01,empirical
Berlin_Remise,16,14,0.275,0.1096,0.9779,0.0827,empirical
Berlin_Remise,17,24,0.349,0.1469,0.9766,0.0562,empirical
Berlin_Remise,18,34,0.2902,0.1184,0.9916,0.0241,empirical
Berlin_Remise,19,26,0.2612,0.1349,0.975,0.0901,empirical
Berlin_Remise,20,18,0.2799,0.1422,0.9865,0.0299,empirical
Berlin_Remise,21,4,0.2967,0.1331,0.9836,0.0566,fallback_hub (n=4)
Berlin_Remise,22,1,0.2967,0.1331,0.9836,0.0566,fallback_hub (n=1)
Berlin_Remise,23,0,0.2967,0.1331,0.9836,0.0566,interpolated
Berlin_Rosenthaler,9,0,0.2998,0.169,0.9638,0.0825,interpolated
Berlin_Rosenthaler,10,0,0.2998,0.169,0.9638,0.0825,interpolated
Berlin_Rosenthaler,11,0,0.2998,0.169,0.9638,0.0825,interpolated
Berlin_Rosenthaler,12,0,0.2998,0.169,0.9638,0.0825,interpolated
Berlin_Rosenthaler,13,0,0.2998,0.169,0.9638,0.0825,interpolated
Berlin_Rosenthaler,14,0,0.2998,0.169,0.9638,0.0825,interpolated
Berlin_Rosenthaler,15,0,0.2998,0.169,0.9638,0.0825,interpolated
Berlin_Rosenthaler,16,0,0.2998,0.169,0.9638,0.0825,interpolated
Berlin_Rosenthaler,17,1,0.2998,0.169,0.9638,0.0825,fallback_hub (n=1)
Berlin_Rosenthaler,18,1,0.2998,0.169,0.9638,0.0825,fallback_hub (n=1)
Berlin_Rosenthaler,19,4,0.2998,0.169,0.9638,0.0825,fallback_hub (n=4)
Berlin_Rosenthaler,20,3,0.2998,0.169,0.9638,0.0825,fallback_hub (n=3)
Berlin_Rosenthaler,21,0,0.2998,0.169,0.9638,0.0825,interpolated
Berlin_Rosenthaler,22,0,0.2998,0.169,0.9638,0.0825,interpolated
Berlin_Rosenthaler,23,0,0.2998,0.169,0.9638,0.0825,interpolated
Berlin_Savignyplatz,9,1,0.311,0.1367,0.9749,0.0546,fallback_hub (n=1)
Berlin_Savignyplatz,10,0,0.311,0.1367,0.9749,0.0546,interpolated
Berlin_Savignyplatz,11,0,0.311,0.1367,0.9749,0.0546,interpolated
Berlin_Savignyplatz,12,2,0.311,0.1367,0.9749,0.0546,fallback_hub (n=2)
Berlin_Savignyplatz,13,2,0.311,0.1367,0.9749,0.0546,fallback_hub (n=2)
Berlin_Savignyplatz,14,5,0.4016,0.1253,0.9705,0.066,empirical
Berlin_Savignyplatz,15,1,0.311,0.1367,0.9749,0.0546,fallback_hub (n=1)
Berlin_Savignyplatz,16,8,0.2978,0.1862,0.969,0.0822,empirical
Berlin_Savignyplatz,17,17,0.3259,0.1085,0.9736,0.052,empirical
Berlin_Savignyplatz,18,35,0.3262,0.1211,0.976,0.0546,empirical
Berlin_Savignyplatz,19,32,0.2929,0.1512,0.9844,0.0386,empirical
Berlin_Savignyplatz,20,12,0.2872,0.1763,0.9553,0.0774,empirical
Berlin_Savignyplatz,21,1,0.311,0.1367,0.9749,0.0546,fallback_hub (n=1)
Berlin_Savignyplatz,22,0,0.311,0.1367,0.9749,0.0546,interpolated
Berlin_Savignyplatz,23,0,0.311,0.1367,0.9749,0.0546,interpolated
Berlin_Schöneberg,9,0,0.2883,0.1442,0.9814,0.0642,interpolated
Berlin_Schöneberg,10,0,0.2883,0.1442,0.9814,0.0642,interpolated
Berlin_Schöneberg,11,0,0.2883,0.1442,0.9814,0.0642,interpolated
Berlin_Schöneberg,12,2,0.2883,0.1442,0.9814,0.0642,fallback_hub (n=2)
Berlin_Schöneberg,13,3,0.2883,0.1442,0.9814,0.0642,fallback_hub (n=3)
Berlin_Schöneberg,14,6,0.3785,0.1589,0.9799,0.0335,empirical
Berlin_Schöneberg,15,9,0.2738,0.1248,0.9627,0.0917,empirical
Berlin_Schöneberg,16,29,0.3803,0.1512,0.9722,0.0819,empirical
Berlin_Schöneberg,17,53,0.3028,0.152,0.983,0.0719,empirical
Berlin_Schöneberg,18,53,0.2604,0.1219,0.9872,0.062,empirical
Berlin_Schöneberg,19,44,0.2593,0.1435,0.9902,0.0349,empirical
Berlin_Schöneberg,20,23,0.2784,0.1273,0.9919,0.0291,empirical
Berlin_Schöneberg,21,3,0.2883,0.1442,0.9814,0.0642,fallback_hub (n=3)
Berlin_Schöneberg,22,0,0.2883,0.1442,0.9814,0.0642,interpolated
Berlin_Schöneberg,23,0,0.2883,0.1442,0.9814,0.0642,interpolated
Berlin_Sophienkirchhof,9,0,0.2795,0.1451,0.9786,0.0536,interpolated
Berlin_Sophienkirchhof,10,0,0.2795,0.1451,0.9786,0.0536,interpolated
Berlin_Sophienkirchhof,11,0,0.2795,0.1451,0.9786,0.0536,interpolated
Berlin_Sophienkirchhof,12,1,0.2795,0.1451,0.9786,0.0536,fallback_hub (n=1)
Berlin_Sophienkirchhof,13,0,0.2795,0.1451,0.9786,0.0536,interpolated
Berlin_Sophienkirchhof,14,1,0.2795,0.1451,0.9786,0.0536,fallback_hub (n=1)
Berlin_Sophienkirchhof,15,5,0.2981,0.0929,1.0,0.01,empirical
Berlin_Sophienkirchhof,16,9,0.2056,0.1031,0.9514,0.0766,empirical
Berlin_Sophienkirchhof,17,14,0.3157,0.1439,0.99,0.0261,empirical
Berlin_Sophienkirchhof,18,36,0.2997,0.1584,0.9752,0.0608,empirical
Berlin_Sophienkirchhof,19,24,0.2792,0.1385,0.9652,0.0652,empirical
Berlin_Sophienkirchhof,20,16,0.2416,0.1598,1.0,0.01,empirical
Berlin_Sophienkirchhof,21,2,0.2795,0.1451,0.9786,0.0536,fallback_hub (n=2)
Berlin_Sophienkirchhof,22,0,0.2795,0.1451,0.9786,0.0536,interpolated
Berlin_Sophienkirchhof,23,0,0.2795,0.1451,0.9786,0.0536,interpolated
Berlin_Spichernstr,9,0,0.2665,0.1334,0.9798,0.0561,interpolated
Berlin_Spichernstr,10,0,0.2665,0.1334,0.9798,0.0561,interpolated
Berlin_Spichernstr,11,0,0.2665,0.1334,0.9798,0.0561,interpolated
Berlin_Spichernstr,12,2,0.2665,0.1334,0.9798,0.0561,fallback_hub (n=2)
Berlin_Spichernstr,13,4,0.2665,0.1334,0.9798,0.0561,fallback_hub (n=4)
Berlin_Spichernstr,14,2,0.2665,0.1334,0.9798,0.0561,fallback_hub (n=2)
Berlin_Spichernstr,15,8,0.3177,0.1481,0.99,0.0198,empirical
Berlin_Spichernstr,16,12,0.3002,0.1189,0.9584,0.1003,empirical
Berlin_Spichernstr,17,34,0.2803,0.1377,0.9668,0.0803,empirical
Berlin_Spichernstr,18,57,0.2522,0.1191,0.9856,0.033,empirical
Berlin_Spichernstr,19,34,0.2731,0.1523,0.9911,0.0243,empirical
Berlin_Spichernstr,20,14,0.2405,0.1192,0.9596,0.0899,empirical
Berlin_Spichernstr,21,5,0.164,0.0688,1.0,0.01,empirical
